len,width,type
2.333,0.3509,1
2.9453,0.2621,1
3.0889,0.1536,1
3.0566,0.1285,1
3.0205,0.2571,1
3.0123,0.2002,1
3.0713,0.2478,1
3.0258,0.3957,1
3.1842,0.1841,1
3.1487,0.1013,1
3.1206,0.1217,1
3.1626,0.2838,1
3.1768,0.2941,1
3.2302,0.2225,1
3.2775,0.2021,1
3.2599,0.248,1
3.2076,0.2178,1
3.2334,0.2121,1
3.3341,0.297,1
3.394,0.5207,1
3.4026,0.2327,1
3.4663,0.2223,1
3.4851,0.2238,1
3.4445,0.2213,1
3.4029,0.2714,1
3.4139,0.2637,1
3.417,0.3671,1
3.4499,0.4036,1
3.4818,0.4341,1
3.5516,0.2557,1
3.5912,0.2087,1
3.5422,0.212,1
3.5771,0.3296,1
3.5665,0.33,1
3.5832,0.6781,1
3.6665,0.2386,1
3.6123,0.231,1
3.7454,0.2561,1
3.705,0.2593,1
3.7195,0.4251,1
3.8612,0.2448,1
3.8186,0.3169,1
3.8938,0.3461,1
3.8439,0.4666,1
3.9443,0.4643,1
3.9373,0.4558,1
4.0939,0.2894,1
4.1928,0.114,1
4.2892,0.2551,1
4.4583,0.4223,1
2.0774,1.0661,2
2.2797,1.0845,2
2.2319,1.5818,2
2.3646,1.0404,2
2.389,1.3265,2
2.3376,1.3428,2
2.4898,1.0772,2
2.4181,1.0398,2
2.4032,1.1336,2
2.5777,1.1334,2
2.5803,1.122,2
2.5374,1.3441,2
2.5233,1.5807,2
2.6285,1.0427,2
2.6514,1.2224,2
2.6343,1.2572,2
2.7305,1.0679,2
2.7401,1.2483,2
2.7051,1.3248,2
2.7866,1.4294,2
2.7391,1.6587,2
2.8926,1.2912,2
2.8626,1.3184,2
2.8324,1.3045,2
2.8774,1.3588,2
2.871,1.444,2
2.8758,1.5075,2
2.9257,1.3662,2
2.9205,1.3107,2
2.9503,1.3081,2
2.9277,1.3941,2
2.9445,1.3702,2
2.9134,1.4381,2
2.9127,1.5735,2
3.0774,1.2752,2
3.0746,1.3789,2
3.0412,1.411,2
3.0357,1.4703,2
3.0157,1.5199,2
3.0354,1.5637,2
3.0667,1.5693,2
3.0887,1.7621,2
3.1276,1.4108,2
3.1601,1.527,2
3.1284,1.5098,2
3.2298,1.4622,2
3.207,1.5746,2
3.2516,1.8434,2
3.3218,1.6165,2
3.4287,1.6469,2
2.2061,1.5733,3
2.5717,1.7464,3
2.5058,1.8968,3
2.5839,1.9726,3
2.529,2.0815,3
2.6935,1.4484,3
2.6939,2.3509,3
2.7045,1.8799,3
2.7519,1.9327,3
2.7538,1.9744,3
2.7687,1.9879,3
2.8354,1.5754,3
2.8567,1.8598,3
2.8252,1.9848,3
2.8929,2.0813,3
2.8678,2.0338,3
2.8567,2.1946,3
2.8602,2.2374,3
2.8797,2.4639,3
2.9071,1.8935,3
2.996,1.8777,3
3.0079,1.685,3
3.0412,1.8371,3
3.0635,1.8277,3
3.0063,1.8547,3
3.0519,1.8256,3
3.0032,2.0945,3
3.0054,2.1007,3
3.0972,2.1434,3
3.0717,2.1273,3
3.0446,2.2935,3
3.0524,2.3264,3
3.0307,2.3611,3
3.1812,1.8907,3
3.1816,2.117,3
3.1441,2.3699,3
3.1957,2.4893,3
3.2108,1.8461,3
3.2983,2.0967,3
3.2971,2.325,3
3.2503,2.3258,3
3.2633,2.3218,3
3.3089,2.1926,3
3.3866,2.5523,3
3.3526,2.5598,3
3.4092,2.3917,3
3.4351,2.4298,3
3.6535,2.5649,3
3.8798,2.0464,3
3.86,2.218,3
